date,state,new_deaths,total_deaths,new_cases,total_cases
2020-07-04,SELANGOR,0,17,7,2058
2020-07-04,SABAH,0,7,1,376
2020-07-04,WP KUALA LUMPUR,0,25,1,2438
2020-07-05,SELANGOR,0,17,2,2060
2020-07-05,SABAH,0,7,2,378
2020-07-05,WP KUALA LUMPUR,0,25,0,2438
2020-07-06,SELANGOR,0,17,2,2062
2020-07-06,SABAH,0,7,0,378
2020-07-06,WP KUALA LUMPUR,0,25,1,2439
2020-07-07,SELANGOR,0,17,3,2065
2020-07-07,SABAH,0,7,0,378
2020-07-07,WP KUALA LUMPUR,0,25,2,2441
2020-07-08,SELANGOR,0,17,1,2066
2020-07-08,SABAH,0,7,0,378
2020-07-08,WP KUALA LUMPUR,0,25,1,2442
2020-07-09,SELANGOR,0,17,4,2070
2020-07-09,SABAH,0,7,0,378
2020-07-09,WP KUALA LUMPUR,0,25,0,2442
2020-07-10,SELANGOR,0,17,6,2076
2020-07-10,SABAH,0,7,0,378
2020-07-10,WP KUALA LUMPUR,0,25,3,2445
2020-07-11,SELANGOR,0,17,3,2079
2020-07-11,SABAH,0,7,1,379
2020-07-11,WP KUALA LUMPUR,0,25,0,2445
2020-07-12,SELANGOR,0,17,9,2088
2020-07-12,SABAH,0,7,1,380
2020-07-12,WP KUALA LUMPUR,0,25,0,2445
2020-07-13,SELANGOR,0,17,4,2092
2020-07-13,SABAH,0,7,0,380
2020-07-13,WP KUALA LUMPUR,0,25,0,2445
2020-07-14,SELANGOR,0,17,1,2093
2020-07-14,SABAH,0,7,0,380
2020-07-14,WP KUALA LUMPUR,0,25,1,2446
2020-07-15,SELANGOR,0,17,1,2094
2020-07-15,SABAH,0,7,0,380
2020-07-15,WP KUALA LUMPUR,0,25,1,2447
2020-07-16,SELANGOR,0,17,0,2094
2020-07-16,SABAH,0,7,0,380
2020-07-16,WP KUALA LUMPUR,0,25,1,2448
2020-07-17,SELANGOR,0,17,4,2098
2020-07-17,SABAH,0,7,1,381
2020-07-17,WP KUALA LUMPUR,0,25,1,2449
2020-07-18,SELANGOR,0,17,1,2099
2020-07-18,SABAH,0,7,0,381
2020-07-18,WP KUALA LUMPUR,0,25,0,2449
2020-07-19,SELANGOR,0,17,4,2103
2020-07-19,SABAH,0,7,1,382
2020-07-19,WP KUALA LUMPUR,0,25,1,2450
2020-07-20,SELANGOR,0,17,4,2107
2020-07-20,SABAH,0,7,0,382
2020-07-20,WP KUALA LUMPUR,0,25,0,2450
2020-07-21,SELANGOR,0,17,2,2109
2020-07-21,SABAH,0,7,1,383
2020-07-21,WP KUALA LUMPUR,0,25,1,2451
2020-07-22,SELANGOR,0,17,3,2112
2020-07-22,SABAH,0,7,0,383
2020-07-22,WP KUALA LUMPUR,0,25,2,2453
2020-07-23,SELANGOR,0,17,0,2112
2020-07-23,SABAH,0,7,1,384
2020-07-23,WP KUALA LUMPUR,0,25,1,2454
2020-07-24,SELANGOR,0,17,3,2115
2020-07-24,SABAH,0,7,0,384
2020-07-24,WP KUALA LUMPUR,0,25,3,2457
2020-07-25,SELANGOR,0,17,3,2118
2020-07-25,SABAH,0,7,0,384
2020-07-25,WP KUALA LUMPUR,0,25,1,2458
2020-07-26,SELANGOR,0,17,0,2118
2020-07-26,SABAH,0,7,1,385
2020-07-26,WP KUALA LUMPUR,0,25,2,2460
2020-07-27,SELANGOR,0,17,1,2119
2020-07-27,SABAH,0,7,4,389
2020-07-27,WP KUALA LUMPUR,0,25,2,2462
2020-07-28,SELANGOR,0,17,0,2119
2020-07-28,SABAH,0,7,3,392
2020-07-28,WP KUALA LUMPUR,0,25,4,2466
